Title;Ingredients;Instructions;Time
Spaghetti di Zucchine (Zoodles) al Pesto;4 zucchine grandi, pesto alla genovese, pomodorini confit, pinoli tostati;Usare lo spiralizzatore per fare gli spaghetti di zucchine. Saltarli in padella per 2 minuti con un filo d'olio (devono restare croccanti). Condire con pesto e pomodorini.;10
Involtini di Melanzane Grigliate Light;2 melanzane lunghe, 200g ricotta, menta fresca, scorza di limone, un filo d'olio;Grigliare le fette di melanzana (non friggerle!). Lavorare la ricotta con menta e limone. Arrotolare la crema nelle melanzane. Servire fredde o tiepide.;20
Straccetti di Pollo Limone e Zenzero;500g petto di pollo, succo di 1 limone, zenzero fresco, farina, prezzemolo;Tagliare il pollo a striscioline e infarinarlo leggermente. Rosolare in padella con poco olio. Aggiungere zenzero grattugiato e succo di limone. Cuocere finché si forma una cremina.;15
Vellutata di Zucca e Ceci Croccanti;600g zucca, 200g ceci precotti, rosmarino, paprika, olio evo;Cuocere la zucca a cubetti con brodo vegetale e frullare tutto. A parte, ripassare i ceci in padella con olio e paprika finché croccanti. Servire la vellutata con i ceci sopra.;25
Burger di Lenticchie e Carote;400g lenticchie cotte, 2 carote grattugiate, pangrattato, prezzemolo, cumino;Frullare grossolanamente lenticchie e carote. Aggiungere aromi e pangrattato per asciugare. Formare burger e cuocere in padella antiaderente o forno.;30
Insalata di Ceci, Pomodori e Feta;400g ceci, 200g pomodorini, 150g feta greca, olive nere, cetrioli, origano;Tagliare tutte le verdure a cubetti. Unire ai ceci scolati. Condire con olio, origano e sbriciolare la feta sopra. Piatto unico fresco.;10
Orata al Cartoccio con Verdure;2 orate pulite, zucchine, pomodorini, patate, timo, limone;Mettere il pesce su carta forno. Aggiungere verdure a pezzetti piccoli, olio, sale e timo. Chiudere bene il cartoccio. Infornare a 200°C per 20-25 minuti.;25
Zucchine Ripiene di Ricotta (Light);4 zucchine tonde o lunghe, 250g ricotta, parmigiano, uovo, menta;Svuotare le zucchine e sbollentarle 3 min. Mescolare la polpa con ricotta, uovo e formaggio. Riempire i gusci e infornare a 180°C finché dorate.;35
Curry di Ceci e Zucca;400g ceci, 400g zucca, latte di cocco, curry in polvere, cipolla, riso basmati;Soffriggere la cipolla col curry. Aggiungere zucca a cubetti e latte di cocco. Cuocere 15 min. Unire i ceci e servire con riso basmati.;25
Polpette di Melanzane al Forno;2 melanzane, 1 uovo, pangrattato, parmigiano, aglio, prezzemolo;Cuocere le melanzane intere in forno, ricavare la polpa. Mescolare con uovo, formaggio e pangrattato. Formare polpette e cuocere in forno con un filo d'olio (invece di friggerle).;40
Insalata di Pollo, Sedano e Noci;Petto di pollo grigliato, gambi di sedano, gherigli di noci, yogurt greco, senape;Tagliare il pollo freddo a cubetti. Unire sedano croccante a rondelle e noci. Condire con salsa di yogurt e senape (invece della maionese).;15
Insalata di Finocchi e Arance;2 finocchi, 2 arance pelate a vivo, olive nere, olio, sale, pepe;Affettare i finocchi sottilissimi. Unire gli spicchi di arancia e le olive. Condire e lasciar riposare 10 minuti prima di servire.;10
Farro con Verdure Grigliate e Feta;300g farro perlato, melanzane, zucchine, peperoni, feta, basilico;Cuocere il farro. Grigliare le verdure a cubetti. Mescolare tutto e aggiungere cubetti di feta e basilico fresco. Ottimo anche freddo.;25
Frittata al Forno con Zucchine e Mentuccia;6 uova, 3 zucchine, mentuccia, parmigiano, latte;Grattugiare le zucchine. Sbattere uova con latte e formaggio. Unire zucchine e menta. Cuocere in teglia da forno (più leggero della padella) a 180°C per 20 min.;25
Zucca al Forno con Rosmarino;Zucca mantovana, rosmarino, aglio, olio evo, sale grosso;Tagliare la zucca a fette con la buccia. Condire con olio e aromi. Cuocere in forno statico a 200°C finché morbida. Contorno semplice e dolce.;30
Pesce Spada alla Griglia con Salmoriglio;Tranci di pesce spada, olio, limone, origano, prezzemolo, aglio;Preparare il salmoriglio (emulsione di olio, limone e erbe). Grigliare il pesce su piastra rovente. Condire con la salsa a crudo.;15
Insalata di Fagioli Cannellini e Tonno;Fagioli cannellini in vetro, tonno al naturale, cipolla rossa di Tropea, prezzemolo;Scolare fagioli e tonno. Unire cipolla affettata fine. Condire con abbondante olio e pepe nero. Piatto salvacena veloce.;5
Crema Fredda di Cetrioli e Yogurt (Tzatziki Soup);Cetrioli, yogurt greco, aglio, aneto/menta, olio, aceto;Frullare i cetrioli con lo yogurt e gli aromi. Servire freddissima con crostini integrali. Ideale per l'estate.;10
Pollo alla Curcuma e Verdure;Petto di pollo, peperoni, zucchine, curcuma, cipollotto;Saltare il pollo a bocconcini nel wok con le verdure croccanti. Aggiungere curcuma sciolta in poca acqua calda a fine cottura.;20
Uova in Purgatorio (Healthy Version);4 uova, 500ml passata di pomodoro, basilico, pane integrale;Cuocere il pomodoro con poco olio e basilico. Rompere le uova dentro il sugo. Coprire finché l'albume è bianco ma il tuorlo morbido. Servire con pane integrale.;15
Tortino di Alici e Patate;Alici fresche pulite, patate lesse, pangrattato, prezzemolo, aglio;In una teglia fare strati di patate a fette e alici aperte. Spolverare con pangrattato aromatizzato. Infornare 15 minuti.;30
Pasta Integrale con Broccoli e Acciughe;320g pasta integrale, 1 testa di broccolo, acciughe sott'olio, aglio, peperoncino;Bollire il broccolo con la pasta. In padella sciogliere le acciughe con aglio e peperoncino. Saltare la pasta e broccoli nel condimento.;15
Hummus di Ceci fatto in casa;Ceci cotti, tahina (pasta di sesamo), limone, aglio, cumino, olio;Frullare tutto fino a ottenere una crema liscia. Servire con verdure crude (pinzimonio) o pane tostato.;10
Involtini di Bresaola e Caprino;Bresaola, formaggio caprino o robiola, erba cipollina, rucola;Lavorare il formaggio con le erbe. Mettere un cucchiaio su ogni fetta di bresaola e arrotolare. Servire su letto di rucola.;5
Tartare di Salmone e Avocado;Filetto di salmone abbattuto, avocado maturo, lime, salsa di soia, semi di sesamo;Tagliare salmone e avocado a cubetti piccoli. Condire con lime e soia. Impiattare con un coppapasta.;15
Tofu Saltato con Verdure e Soia;2 Panetti di tofu al naturale, zucchine, carote, salsa di soia, semi di sesamo, zenzero;Pressare il tofu per togliere l'acqua. Tagliarlo a cubetti e rosolarlo con olio finché croccante. Aggiungere verdure a listarelle, zenzero e sfumare con soia a fine cottura.;20
Pasta Proteica (Lenticchie) con Rucola e Pomodorini;300g pasta di lenticchie o ceci, rucola fresca, pomodorini, scaglie di grana, olio evo;Cuocere la pasta (attenzione cuoce in fretta!). Condire a crudo con pomodorini tagliati, rucola e scaglie di formaggio. Ottima anche fredda.;10
Couscous alle Verdure Arrosto;250g couscous, 1 peperone, 1 zucchina, 1 melanzana, menta, limone;Tagliare le verdure a cubetti piccoli e cuocerle in forno o padella. Sgranare il couscous con acqua calda e olio. Unire le verdure, menta fresca e succo di limone.;20
Svizzere (Hamburger) con Cipolle Caramellate;4 hamburger di manzo (o vegetali), 2 cipolle rosse, aceto balsamico, zucchero di canna;Stufare le cipolle a fuoco basso con un cucchiaino di zucchero e sfumare con aceto. Cuocere gli hamburger alla piastra. Servire la carne coperta dalle cipolle dolci.;25
Carote al Forno Glassate al Miele;500g carote, miele, timo, olio, semi di sesamo;Tagliare le carote a bastoncino. Condire con olio, miele e timo. Infornare a 200°C per 25 min finché tenere e caramellate. Contorno perfetto per carne o tofu.;30
Pasta Proteica con Ragù di Tacchino Light;320g pasta proteica, 300g macinato di tacchino, soffritto (sedano, carota, cipolla), pomodoro, vino bianco;Fare un ragù classico ma usando macinato di tacchino (molto più magro) e pasta di legumi per extra proteine. Cuocere a fuoco lento per 40 min.;50
Polpette di Tofu e Spinaci;250g tofu, 200g spinaci cotti, pangrattato, parmigiano, uovo (facoltativo);Frullare tofu e spinaci strizzati. Aggiungere formaggio e pangrattato. Formare palline e cuocere in forno a 200°C finché dorate.;30
Couscous Pollo e Zafferano;250g couscous, 300g petto di pollo, zafferano, zucchine, brodo vegetale;Cuocere il pollo a cubetti con le zucchine. Sciogliere lo zafferano nel brodo caldo per il couscous. Unire tutto e sgranare con una forchetta.;20
Peperoni Ripieni di Carne e Riso;4 peperoni, 300g macinato di manzo (o misto), 100g riso parboiled, pomodoro, prezzemolo;Pulire i peperoni. Mescolare carne cruda, riso crudo e aromi. Riempire i peperoni. Cuocere in piedi in pentola con salsa di pomodoro per 45 min (il riso cuoce nel sugo).;45
Insalata di Carote, Noci e Mele;4 carote, 1 mela verde, noci, uvetta, succo di limone;Grattugiare le carote e la mela. Unire noci tritate e uvetta. Condire con citronette (olio e limone). Freschissima e veloce.;10
Tofu "Strapazzato" alla Curcuma (Vegan Scramble);1 panetto tofu morbido, curcuma, cipollotto, sale kala namak (o normale), pepe;Sbriciolare il tofu con le mani in padella calda con olio. Aggiungere curcuma per il colore giallo. Cuocere 5 min finché ricorda le uova strapazzate.;10
